script_id,stage,intent,customer_type,language,tone,script_template,objection_type,objection_response,cta,forbidden_claims,last_updated,owner
S001,opening,first_contact,new,en,friendly,"Thanks for reaching out. Could you share product type quantity and destination port?",none,"N/A","Please send target quantity and destination port so I can prepare options.","No absolute lowest price claim",2026-03-19,sales-ops
S002,discovery,collect_requirements,new,en,formal,"To recommend the right model please confirm material grade size standard and application.",none,"N/A","Reply with grade size standard and usage scenario.","No unsupported technical claim",2026-03-19,sales-ops
S003,quotation,request_price,new,en,formal,"We can quote quickly after confirming specs quantity and Incoterm.",none,"N/A","Please confirm specs quantity and preferred Incoterm.","No final price commitment without approval",2026-03-19,sales-ops
S004,negotiation,price_too_high,new,en,assertive,"I understand budget pressure. We can optimize by quantity packaging or material option while keeping requirements.",too_expensive,"Offer trade-off options not blind discount","Share your target price and annual demand for a best-fit offer.","No below-cost promise",2026-03-19,sales-ops
S005,follow_up,no_reply,new,en,friendly,"Just checking in on the quote sent earlier. Happy to adjust options based on your target.",no_response,"Keep short and value oriented","Would you like an alternative with shorter lead time or lower cost?",,"2026-03-19",sales-ops
S006,negotiation,compare_supplier,new,en,formal,"If you share the key gap from other offers we can align on specs delivery and service scope.",competitor,"Compete on total value","Please share the top two comparison points.","No competitor defamation",2026-03-19,sales-ops
S007,quotation,sample_request,new,en,friendly,"Sample is available for standard items and can be arranged quickly.",none,"N/A","Please provide courier account and full address.","No free freight promise by default",2026-03-19,sales-ops
S008,discovery,lead_time_check,new,en,formal,"Lead time depends on item and quantity. We can confirm after PO details.",urgent,"Set expectation with conditions","Send required quantity and required ship date.","No guaranteed rush without capacity check",2026-03-19,sales-ops
S009,negotiation,payment_terms,new,en,formal,"Payment terms can be discussed after order scale and cooperation history review.",credit_request,"Escalate for approval","Please share expected monthly volume for payment-term assessment.","No open account promise",2026-03-19,sales-ops
S010,follow_up,close_order,new,en,assertive,"If specs are confirmed we can lock production slot this week.",hesitation,"Create urgency with real capacity","Can we proceed with PI draft today?",,"2026-03-19",sales-ops
S011,opening,first_contact,returning,en,friendly,"Welcome back. I can follow your previous specs and update today pricing window.",none,"N/A","Should I prepare quote based on your last PO specs?",,"2026-03-19",sales-ops
S012,after_sales,quality_issue,returning,en,formal,"Sorry for the issue. We will open a case and provide corrective action after review.",complaint,"Acknowledge and move to evidence collection","Please share photos lot number and quantity affected.","No liability admission before verification",2026-03-19,sales-ops
S013,follow_up,sample_feedback,new,en,friendly,"Did the sample meet your requirements? I can adjust specs before mass order.",none,"N/A","Share test feedback and any required changes.",,"2026-03-19",sales-ops
S014,negotiation,moq_pushback,new,en,formal,"We can discuss MOQ flexibility for trial orders on standard models.",low_moq_request,"Offer phased order plan","Tell us your trial quantity and 3-month forecast.","No zero MOQ promise",2026-03-19,sales-ops
S015,quotation,incoterm_clarify,new,en,formal,"Price varies by Incoterm and destination. We can quote FOB or CIF first.",none,"N/A","Please confirm destination port and preferred Incoterm.",,"2026-03-19",sales-ops
S016,discovery,technical_mismatch,new,en,formal,"To avoid mismatch we suggest confirming drawing or key dimensions first.",spec_conflict,"Shift to technical alignment","Can you send drawing or sample photos with dimensions?",,"2026-03-19",sales-ops
S017,follow_up,decision_delay,new,en,friendly,"No rush. I can keep this active and update if cost or lead time changes.",delay,"Reduce pressure keep momentum","Would a monthly update be useful while you evaluate?",,"2026-03-19",sales-ops
S018,negotiation,exclusive_request,distributor,en,formal,"Exclusivity requires volume commitment and contract approval.",exclusive,"Escalate to management","Please share territory annual target and channel plan.","No exclusivity promise in chat",2026-03-19,sales-ops
S019,quotation,reorder_fast,returning,en,assertive,"We can prioritize repeat SKUs and shorten handling time.",urgent_reorder,"Use history to speed execution","Please confirm last PO number and required ship date.","No guaranteed same-day shipment",2026-03-19,sales-ops
S020,after_sales,reorder_upsell,returning,en,friendly,"Based on your last order we can also suggest matching washers and lock nuts.",none,"N/A","Want me to add a bundled quote for compatible items?",,"2026-03-19",sales-ops
